"Date","Naissance"
"2021-11-14",35
"2021-11-15",40
"2021-11-16",39
"2021-11-17",33
"2021-11-18",42
"2021-11-19",47
"2021-11-20",51
"2021-11-21",44
"2021-11-22",40
"2021-11-23",57
"2021-11-24",49
"2021-11-25",45
"2021-11-26",49
"2021-11-27",51
"2021-11-28",46
"2021-11-29",44
"2021-11-30",52
"2021-12-01",45
"2021-12-02",32
"2021-12-03",46
"2021-12-04",41
"2021-12-05",34
"2021-12-06",33
"2021-12-07",36
"2021-12-08",49
"2021-12-09",43
"2021-12-10",43
"2021-12-11",34
"2021-12-12",39
"2021-12-13",35
"2021-12-14",52
"2021-12-15",47
"2021-12-16",52
"2021-12-17",39
"2021-12-18",40
"2021-12-19",42
"2021-12-20",42
"2021-12-21",53
"2021-12-22",39
"2021-12-23",40
"2021-12-24",38
"2021-12-25",44
"2021-12-26",34
"2021-12-27",37
"2021-12-28",52
"2021-12-29",48
"2021-12-30",55
"2021-12-31",50
